,username,id,displayname,description,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,label,party,district_code
2933,jaishankardada,1239061922990833664,जयशंकर पाण्डे,"प्रदेश उपाध्यक्ष ,पूर्व विधायक (अयोध्या) @samajwadiparty",False,2020-03-15T05:32:57+00:00,578,10,513,436,,sp,AMB
2935,INCPrayagraj_,983020905029922818,Prayagraj Congress,Official Account of Prayagraj Congress,False,2018-04-08T16:37:02+00:00,1808,40,14420,14507,,inc,ALH
2937,Anitatripathii,788083138715156480,Anita Tripathi,"जिला अध्यक्ष भारतीय जनता पार्टी कौशाम्बी, पूर्व क्षेत्रीय अध्यक्ष काशी क्षेत्र महिला मोर्चा , पूर्व जिला उपाध्यक्ष भाजपा, पूर्व महिला मोर्चा जिलाअध्यक्ष at BJP",False,2016-10-17T18:23:57+00:00,3354,785,1026,3241,,bjp,KAU
2938,vishalsethSP,1253882617109155840,Vishal SeTh.,"Vishal Seth Media Cell @Samajwadiparty District Jaunpur

facebook.com/samajwadivisha…",False,2020-04-25T03:05:54+00:00,4635,518,107468,207182,,sp,LCK
2940,Harishcandr1234,1269286980166266882,Harishchandra yadav,देखो हम समाजवादी है भक्त हमसे दुरी बनाये रखे,False,2020-06-06T15:16:34+00:00,6525,6570,291,22503,,sp,JNP
2942,DineshYadvSP,1108930584418508804,Dinesh Yadav,"पूर्व उपाध्यक्ष छात्र संघ बस्ती।                                         
       
सक्रिय कार्यकर्ता समाजवादी पार्टी",False,2019-03-22T03:17:09+00:00,233,182,5182,11656,,sp,BAS
2943,Anupjaiswalbjp,403285419,Anup Jaiswal Anurag,||सदस्य- दूरसंचार सलाहकार||सदस्य- डिस्ट्रिक ई गवरनेंन्स ||पूर्व जिलासंयोजक BJP आई0 टी0 विभाग @Bjp4gzp ||बिग फ़ैन ऑफ़ @Narendramodi जी,False,2011-11-02T08:48:44+00:00,3578,3905,6060,4787,,bjp,SIT
2946,RamSinghRana_LU,713024444533309441,Ram Singh Rana,"Ex State Minister up.govt
State Secretary Samajvadi party
General Secretary Lucknow University Student Union",False,2016-03-24T15:27:29+00:00,769,54,27,34,,sp,LCK
2947,AdvKris85158655,1272519188578361350,Adv Krishna Kumar prajapati,"उपाध्यक्ष बार एशोसिएशन गढ़मुक्तेश्वर हापुड़ ,जिला सचिव कांग्रेस कमेटी ,हापुड़ UP, कांग्रेस का सिपाही, सेवा परमो धर्म:",False,2020-06-15T13:20:20+00:00,898,2120,12058,87685,,inc,HAP
2949,suniltiwari3,322042415,सुनील तिवारी#Stayhome#Staysafe,भाजपा उत्तर प्रदेश पूर्व छात्र नेता के के सी कालेज        हर नजर में मुमकिन नहीं हैं बेगुनाह रहना .               बस वादा ये करें कि खुद की नजर में बेदाग रहें .,False,2011-06-22T15:05:44+00:00,156,376,760,1285,,bjp,LCK
2951,NsuiAuraiya,1190622766619189250,Varun Tiwari Auraiya,"कांग्रेस सेवादल जिला अध्यक्ष वरुण तिवारी औरैया
203 विधानसभा दिबियापुर औरैया
जय कांग्रेस
जय जवान जय किसान",False,2019-11-02T13:33:02+00:00,131,276,446,982,,inc,AUR
2953,TheAtul_APS,632455019,Atul Pratap Singh 🇮🇳,"Founder & Secretary, @hhumanityfIndia | Mechanical Engineer⚙️🛠️ | Writer | Proud to be Indian | Tweets are prsnl.",False,2012-07-11T01:05:11+00:00,425,45,635,1362,,bjp,ETW
2954,Avinash03810101,3306714386,जय श्री राम अविनाश तिवारी गाधीपुर यूपी RHED,"Village +post =Husenpur 
Disttic = Ghazipur 
Country = India 
College name = pg college ghazipur (up)
work at this time --Abvpपूर्व तहसील सयोंजक ,RSS सपोर्टर।।",False,2015-08-05T07:22:38+00:00,3248,5003,109886,100780,,bjp,GZP
2955,shivanand_pand,952461443370135553,Shivanand Pandey,"MBA || Activist || राष्ट्रीय कार्यकारिणी सदस्य || विभाग संगठन मंत्री बस्ती ABVP 
 @abvpvoice",False,2018-01-14T08:44:38+00:00,2937,1484,6019,33808,,bjp,BAS
2958,BJP4Yamunapar,902481013602828288,BJP Prayagraj Yamunapar,Official Twitter Account - BHARTIYA JANTA PARTY - Jila YAMUNAPAR (PRAYAGRAJ),False,2017-08-29T10:40:15+00:00,2665,38,5410,2684,,bjp,AGR
2959,ShivamM04609108,863729414319767553,टीम-शिवम मिश्र,जय भारत-जय भाजपा,False,2017-05-14T12:15:14+00:00,145,220,841,524,,bjp,ALH
2960,imashishspn,903177112592334849,Ashish Prakash Gupta,सक्रिय सदस्य भाजपा उत्तर प्रदेश,False,2017-08-31T08:46:18+00:00,1144,855,568,1602,,bjp,SHJ
2961,KiranTanya11,2866242594,Kiran Yadav,प्रदेश कार्यकारिणी सदस्य समाजवादी पार्टी I am a social  worker. politician. Principal of inter college,False,2014-10-20T02:59:34+00:00,1355,602,1845,1178,,sp,LCK
2964,RameshY62772687,1245983344422088704,Ramesh Yadav,", जिला सचिव सपा गोरखपुर",False,2020-04-03T07:56:19+00:00,105,257,420,1653,,sp,GOR
2970,pawandeoria52,910189438612865024,Pawan Gupta,भाजपा जिला सह संयोजक व्यापार प्रकोष्ठ जनपद देवरिया,False,2017-09-19T17:10:47+00:00,220,84,512,918,,bjp,DEO
2971,RahulMeena7351,1243818337907249154,Rahul Meena,INDIAN NATIONAL CONGRESS🇮🇳🇮🇳जय कांग्रेस विजय कांग्रेस 🇮🇳,False,2020-03-28T08:33:14+00:00,1652,3088,20051,0,,inc,MAT
2972,santoshupbjp,1549816020,संतोष सिंह,"उपाध्यक्ष बीजेपी यूपी, पूर्व अध्यक्ष लखनऊ यूनिवर्सिटी (विद्यार्थी परिषद)।एक स्वयंसेवक( ट्वीट मेरे व्यक्तिगत विचार )",True,2013-06-27T05:33:00+00:00,45372,911,11222,166407,,bjp,LCK
2973,SangeetaChauh,901264184763072513,SangeetaSinghChauhan,Kisan Congress state coordinator,False,2017-08-26T02:05:01+00:00,130,528,171,114,,inc,AZA
2974,Pushpendra7052,819901103642935297,"पुष्पेंद्र सिंह राजपूत ,हिंदू युवा वाहिनी ऊoप्रo","(जिला उपाध्यक्ष झांसी ),हिंदू युवा वाहिनी , जिला-झांसी",False,2017-01-13T13:37:10+00:00,2486,4980,866,792,,bjp,JHA
2978,manibhu2018,943313149926748162,MANI PRAKASH YADAV,समाजवादी पार्टी छात्र सभा           #SDFDEORIA                                      KGMU .king George Medical college Lucknow,False,2017-12-20T02:52:35+00:00,693,119,5432,7881,,sp,DEO
2981,PiyushINC,381927827,Dr. Piyush Mishra,Ex Joint Media Coordinator -UPCC *Writing a book on Ballia-बागी बलिया का धर्म-कर्म* (Personal Views) 7007408175 / 9453691092,False,2011-09-29T05:44:18+00:00,3763,692,2785,3591,,inc,LCK
2982,AtulMauBJP,1281147880347058177,Atul Maurya,भाजपा का कार्यकर्ता,False,2020-07-09T08:48:00+00:00,803,651,3337,22085,,bjp,LCK
2983,Rahulpa63055104,4778390833,राहुल पाण्डेय,"🙂जिज्ञासु🧐
Am always stick to own words. 🙂
महासचिव समाजवादी छात्रसभा सि०नगर",False,2016-01-18T12:28:19+00:00,114,80,390,915,,sp,LCK
2984,Jitendr06025325,924292304986238976,जितेंद्र चौहान,🕉🚩जय श्री राम 🚩मोदी प्रशंसक 🚩संघ प्रचारक🚩 भाजपा समर्थक 🚩फॉलो बैक💯%,False,2017-10-28T15:10:32+00:00,9326,2815,2284,38544,,bjp,LCK
2986,ActivistSandeep,896563454588313600,Sandeep Singh,Ambedkarite | Dalit Political Strategics & Campaign Consultant | Activist | DU | Ex Journalist | Congressman | NGO @mooknayakNgo| Tweets are personal,True,2017-08-13T02:45:59+00:00,22944,3077,20880,14303,,inc,LCK
2987,MalikMujahid74,2292232512,मुजाहिद मलिक पीलीभीती,"मुजाहिद मलिक पीलीभीती
Urdu poet
MD KAMYAVBYA HEALTHCARE PVT. LTD
pharmacologist 
Assistant professor",False,2014-01-15T06:02:54+00:00,124,432,1723,376,,inc,LCK
2988,digvijaysinghd9,3042216194,Digvijay Singh “Dev”,State President Samajwadi Chhatra Sabha (SCS),True,2015-02-26T03:05:48+00:00,131539,1248,8520,53107,,sp,LCK
2989,Vaibhav97997180,799666039147536384,Vaibhav,नगर उपाध्यक्ष भाजयुमो शामली,False,2016-11-18T17:30:15+00:00,69,824,134,4199,,bjp,SHM
2991,anuraggaur0002,2851567069,ठा. अनुराग सिंह गौर,"सूरज उगेगा-युवा जागेगा -कमल खिलेगा

पूर्व जिला सह संयोजक आईटी सेल भाजपा
 कानपुर  उत्तर प्रदेश
मण्डल अध्यक्ष भाजयुमो कानपुर देहात",False,2014-10-11T05:22:13+00:00,453,842,695,989,,bjp,KNN
2997,AuthorAtul,509710618,Atul Kumar Rai,Author | Screenwriter | Novelist | MPA ( Music ) From BHU |  उपन्यास 'चाँदपुर की चंदा' 👉 amzn.to/3Fr4gR0,False,2012-03-01T04:27:14+00:00,12065,215,8295,35006,,bjp,BAL
2999,VineetAgarwalS1,1030158030535647237,Vineet Agarwal Sharda,Politician. प्रदेश संयोजक भाजपा व्यापार प्रकोष्ठ उत्तर प्रदेश,False,2018-08-16T18:23:08+00:00,1414,33,3459,9969,,bjp,MRT
3001,dhermenderlodhi,1028136584762339329,धर्मेन्द्र लोधी अधिवक्ता ओबीसी,"पूर्व जिला सचिव समाजवादी पार्टी
पूर्व जिला संगठन मंत्री अखिल भारतीय विद्यार्थी परिषद फिरोजाबाद।
पूर्व जिला संयोजक पीलीभीत abvp",False,2018-08-11T04:30:38+00:00,2100,2331,458,2779,,bjp,PIL
3003,Socialist_VIJAY,1257727792382267393,Vijay Singh Yadav,🚲 ज़िलाध्यक्ष 🇧🇾 समाजवादी पार्टी लोहिया वाहिनी कानपुर 👨🏻‍⚖️ अधिवक्ता (LL.M.) बार काउन्सिल ऑफ उत्तरप्रदेश,False,2020-05-05T17:44:39+00:00,2485,1960,1752,5766,,sp,KNN
3004,prashant3k1,1104509719,Prashant Keshari,"स्वयंसेवक @RSSorg, क्षेत्र कार्यसमिति सदस्य @bjpkashikshetra,
पूर्व प्रदेश मंत्री @abvpkashiprant",False,2013-01-19T19:44:43+00:00,11681,12051,7765,48406,,bjp,KAU
3005,amlendransui,802336726672875521,AMLENDRA TRIPATHI,"NATIONAL COORDINATOR @NSUI

          
EX - President Hardoi NSUI 
   EX -  Spokesperson Dcc Hardoi
 
Gandhian | Nehruvian | Social worker |Environmentalist",False,2016-11-26T02:22:37+00:00,1426,407,8355,37358,,inc,HAR
3008,RahulYa01996825,916909161442627585,Rahul Yadav,समाजवादी छात्र सभा बाराबंकी,False,2017-10-08T06:12:34+00:00,764,1537,1164,2923,,sp,BAR
3009,JYotiMassey2,1169303555712282624,Jyoti Massey,"Jila Adhyaksha Mahila Sabha Samajwadi Party, Mainpuri.",False,2019-09-04T17:38:21+00:00,761,210,853,16220,,sp,MAI
3010,RAVISAH78138138,1103547961789734912,RAVI SAHU,"समाजवादी पार्टी 235।   बांदा।   विधानसभा
      
m 8707531689",False,2019-03-07T06:48:31+00:00,124,1229,1558,3385,,sp,BAN
3011,ReyazAhmadbablu,1048819753421164544,Reyaz Ahmad Bablu,congress politicians social worker,False,2018-10-07T06:18:10+00:00,205,497,5402,74284,,inc,VAR
3012,mpsangamlal,949959602061246467,Sangam Lal Gupta,"Official Twitter account of Sangam Lal Gupta.
Member of Parliament (BJP) - Pratapgarh (Uttar Pradesh) |
National General Secretary - OBC Morcha @Bjp4India",True,2018-01-07T11:03:13+00:00,17949,1194,11719,10076,,bjp,PGH
3013,VIPIN36243937,953301028874539009,VIPIN BAGHEL,please follow 💗,False,2018-01-16T16:20:51+00:00,1392,1199,618,2639,,bjp,KAS
3018,Akashvedi2,838285826031255552,Akash Vedi,"Ex vice president of chatra sabha
samajvadi party mainpuri uttar pradesh 📲
9286280804",False,2017-03-05T07:11:30+00:00,1001,1136,5283,6139,,sp,MAI
3020,Vickybjp814,1167823845002113032,विक्की कुमार भाजपा,सिविल लाइन मंडल माहमंत्री भाजपा,False,2019-08-31T15:38:13+00:00,481,752,163,667,,bjp,MOR
3021,dharmen82091566,1438605480,Dharmendra Kumar Pandey BJP,Advocate Jila Mantri BJP,False,2013-05-18T15:07:16+00:00,238,5005,1574,6247,,bjp,GON
3022,Anubhav4758,941661993634734081,अनुभव विश्वकर्मा,विधानसभा संयोजक आई.टी विभाग भाजपा,False,2017-12-15T13:31:29+00:00,2219,2961,56392,54612,,bjp,BIJ
3023,punam4bjp,743483237742239748,punam maurya,"||क्षेत्रीय सह मीडिया प्रभारी महिला मोर्चा काशी क्षेत्र ,जिला कार्यसमिति सदस्य भाजपा गाज़ीपुर ॐ नमः शिवाय🙏
सबका साथ सबका विकास @Bjp4india पर है विश्वास",False,2016-06-16T16:39:52+00:00,208,78,1574,3278,,bjp,SIT
3024,ashokchurasiya1,1028642923192221696,Ashok Chaurasia,Official Twitter account Ashok Chaurasia Regional General Secretary BJP Kashikshetra,False,2018-08-12T14:02:38+00:00,595,387,5905,973,,bjp,VAR
3026,AmanGupta0034,1211546439651713025,Aman Gupta,जिला सहसंयोजक ABVP बागपत,False,2019-12-30T07:16:16+00:00,280,495,1597,8018,,bjp,BRP
3027,Manishkaumar_,1187219493006655490,Manish kumar,"कार्यकर्ता बहुजन समाज पार्टी

youtube.com/channel/UCT6mQ…

facebook.com/profile.php?id…",False,2019-10-24T04:09:31+00:00,3053,1130,2609,35439,,bsp,AGR
3028,AnshulHyadav,1231847789447045120,Anshul Yadav Virat,ज़िला सचिव समाजवादी पार्टी छात्र सभा | ज़िलाध्यक्ष छात्र प्रकोष्ठ वीर अहीर निर्माण सेना | छात्रनेता लख़नऊ विश्वविद्यालय  | Judiciary Aspirant.,False,2020-02-24T07:46:23+00:00,3332,3474,4405,13576,,sp,ETW
3029,zahidvirat1,796707384039272448,Md Zahid,नगर सचिव समाजवादी पार्टी मऊ,False,2016-11-10T13:33:37+00:00,880,285,4626,15553,,sp,MAU
3032,inckuldeepnsui,1127183687416668160,पंडित कुलदीप पाठक,nsui प्रदेश सचिव उत्तर प्रदेश कांग्रेस कमेटी,False,2019-05-11T12:08:27+00:00,1132,164,2590,36739,,inc,LAL
3033,alok555bjp,778569719368519680,Alok Sharma,"जिला संयोजक भाजपा आईटी विभाग, गाजीपुर।

राष्ट्रीय युवा स्वयंसेवक, विकासखंड मोहम्मदाबाद, गाजीपुर, उत्तर प्रदेश",False,2016-09-21T12:21:01+00:00,2244,1911,5522,12386,,bjp,GZP
3035,jeetubhai288ksg,1364837713023672321,जितेन्द्र वर्मा ( जीतू भैय्या ),जिला महासचिव समाजवादी छात्र सभा बहराइच,False,2021-02-25T07:21:07+00:00,1557,1919,1517,16992,,sp,BAH
3039,rgsaurabhshukla,3039200186,Saurabh Shukla RG 🇮🇳,"पूर्व अध्यक्ष शहर कांग्रेस कमेटी, जौनपुर",False,2015-02-24T09:22:43+00:00,662,102,1275,3007,,inc,JNP
3041,AmitKalrajOffc,769237064,Amit Mishra’s Office,Office of- Member-Working Committee @BJP4UP . #ProudIndian #NationFirst #RSS Followed by #DeshBhakts,False,2012-08-20T10:05:15+00:00,10292,70,34055,36399,,bjp,LCK
3043,up_2022,1204647500713349120,Mission2022,समाजवादी पार्टी (उत्तर प्रदेश),False,2019-12-11T06:22:54+00:00,2221,1153,313,242,,sp,LCK
3044,akashsingh2593,720896871196160002,Akash Singh,"मण्डल उपाध्यक्ष भाजपा धम्मौर, जिला कार्यसमिति सदस्य, भारतीय जनता युवा मोर्चा कुशभवनपुर (सुलतानपुर),9935721546",False,2016-04-15T08:49:42+00:00,210,433,592,9096,,bjp,SUL
3050,dkvikaskumar,957197370114142208,Vikash prajapti,अध्यक्ष युवा एकता/ब्लॉक संयोजक आईटी सेल हियुवा रामकोला,False,2018-01-27T10:23:31+00:00,1994,4461,722,10712,,bjp,KSH
3051,Shyamsingh_BJP4,1153698734464651265,🇮🇳🇮🇳Shyam Singh🇮🇳🇮🇳,"BJP4INDIA
जय श्री राम",False,2019-07-23T16:09:47+00:00,482,1110,9339,13403,,bjp,LCK
3052,hausilabjp,1042216195452067840,हौसिला प्रसाद पाठक,"प्रदेश कार्यसमिति सदस्य भाजपा उ.प्र.
                              निवर्तमान जिलाध्यक्ष भाजपा भदोही",False,2018-09-19T00:57:59+00:00,1461,170,1405,6794,,bjp,BDH
3054,DvgJaysinghSP,959838730537222144,Divyang Jaysingh samajwadi ll,"08/07/1992
@Samajwadiparty सक्रिय कार्यकर्ता
पूर्व छात्र नेता डॉ शकुंतला मिश्रा राष्ट्रीय पुनर्वास विश्वविद्यालय
B. com
माननीय श्री @yadavakhilesh जी का सिपाही",False,2018-02-03T17:19:21+00:00,204,136,3601,5835,,sp,LCK
3055,Gauravkarwariy1,1031112021281005568,Gauravkarwariya🇮🇳🚩,भारतीय!! जिला मंत्री चित्रकूट @bjym STUDENT activist !ex-STATECONVENOR @thinkindiaorg.  -awadh prant- ABVP Ex.PRESIDENT @Amityuniversity. वन्दे मातरम,False,2018-08-19T09:33:57+00:00,458,1680,6979,27143,,bjp,CHK
3057,MohitMishra_MM,172419002,Mohit Mishra,Member UPCC | Gen-Secretary City Congress Committee Kanpur | Ex-President NSUI Kanpur | Politician | INC |,False,2010-07-29T17:30:16+00:00,897,979,995,3882,,inc,KNN
3058,YouthSurajpur,1390604245615878145,Surajpur block youth congress,"Surajpur block youth congress  
Official account",False,2021-05-07T09:47:59+00:00,566,1252,1888,11153,,inc,RAM
3059,ShivHamdrd,3061592114,शिव कुमार हमदर्द,"प्रदेशअध्यक्ष ओबीसी महासभा, प्रदेशअध्यक्ष अवंतीवाई लोधी महांसभा,अध्यक्षJ.J.K.S,जेलरिपोर्टर, ex.अंतराष्ट्रीय मानवाधिकार कार्यकारिणी अध्यक्ष पश्चिमी उ०प्र०,",False,2015-03-04T15:57:55+00:00,596,626,283,848,,inc,KAS
3060,Avadheshsribjp,1116002584203071489,Avadhesh Srivastava,"President BJP Barabanki 
जिलाध्यक्ष भाजपा बाराबंकी",False,2019-04-10T15:38:45+00:00,645,65,64,41,,bjp,BAR
3062,pawankardixi7,783112960663322624,bjp pawan kumar dixit,"पवन कुमार दीक्षित
 निवर्तमान मण्डल अध्यक्ष
 भाजपा रसूलाबाद  माखी उन्नाव
 उत्तर प्रदेश भारत",False,2016-10-04T01:14:14+00:00,545,149,972,4867,,bjp,UNN
3064,MohitSh27436114,951081446290042880,मोहित शुक्ला भाजपा,भाजपा महानगर कार्यसमिति सदस्य वाराणसी मो 8808044447,False,2018-01-10T13:21:01+00:00,980,2899,1561,2817,,bjp,VAR
3066,alam009x,2873386167,Mahfuj.Alam,समाजवादी पार्टी उत्तर प्रदेश,False,2014-11-12T06:08:30+00:00,586,1562,2244,9592,,sp,LCK
3068,govindcbr30,2951829517,Govind prakash,जिला अध्यक्ष पिछड़ा वर्ग कांग्रेस कन्नौज उत्तर प्रदेश,False,2014-12-30T09:57:01+00:00,592,1976,15504,45943,,inc,KAN
3069,yadavravindarsp,754943452526342144,Er• Ravindar Yadav,#Member Of The Samajwadi Party # #Socialist Thinker# instagram.com/yyadavravindar…,False,2016-07-18T07:38:40+00:00,7278,5523,1514,41044,,sp,LCK
3071,NeerajM30161833,739058476136046595,NeerajMishra Unnati kheda,अध्यक्ष विधानसभा यूथ कांग्रेस हरचंदपुर रायबरेली,False,2016-06-04T11:37:26+00:00,1075,2729,4512,543,,inc,BRL
3073,barunshuklabjp,4916957030,Barun Shukla🇮🇳,"राष्ट्रहित सर्वोपरि।। सब का साथ राष्ट्र का विकास।।
                    (महामंत्री भाजपा मंडल छानबे मिर्ज़ापुर उत्तर प्रदेश)",False,2016-02-16T17:40:33+00:00,412,508,905,6413,,bjp,MIR
3074,janardan9984,1091690574736814080,जनार्दन चतुर्वेदी जे डी,"मंडल उपाध्यक्ष महादेवा 
भारतीय जनता युवा मोर्चा बाराबंकी",False,2019-02-02T13:31:30+00:00,97,94,29,58,,bjp,BAR
3076,Ved_Prakash_Ch,812376170,Ved Prakash Chaubey,"District Convenor, BJP IT Vibhag Chandauli, UP. 
Young Entrepreneur
🚩🚩स्वयंसेवक🚩🚩
🇮🇳Hyper Nationalist🇮🇳",False,2012-09-09T04:52:50+00:00,257,390,6173,1901,,bjp,VAR
3077,harshu_jadoun,772031667435343872,Harshuu,"Rajputana blood,carear for country,#hindutva is way of life, #nationalist,ex state executive council member of abvp,#founder- animal rescue and care",False,2016-09-03T11:21:07+00:00,586,80,456,563,,bjp,AGR
3078,AmbikeshDubey,2227849430,Ambikesh D Dubey™ ⚡,भाजपा (उ.प्र) BJPITCell सःसंयोजक अवध क्षेत्र @BJPAwadh4UP,False,2013-12-03T07:13:08+00:00,2206,736,72462,66567,,bjp,LCK
3079,SiddiquHaseeb,2568580609,Haseeb Hasan siddiqui حسیب حسن صدیقی,राष्ट्रीय सचिव समाजवादी युवजन सभा,False,2014-06-15T07:33:45+00:00,3957,1226,10024,4254,,sp,KAN
3081,Surjeet_Singh7,844267783949107200,Surjeet Singh ਸੁਰਜੀਤ ਸਿੰਘ,"☬ ਨਿਰਭਉ ਨਿਰਵੈਰੁ ☬ ""Heart Belongs to Aligarh-Uttar Pradesh, Soul to India & Life to Humanity""",False,2017-03-21T19:21:40+00:00,292,1629,9486,28538,,inc,ALG
3082,DipakKumarBJP,1266754479673667584,Dipak Kumar,District Co-Convenor IT/SM BJP Jehanabad,False,2020-05-30T15:33:13+00:00,974,1236,18790,22004,,bjp,GZB
3083,anjubalabjp,769496449658736641,Anju Bala,"Member, National Commission for Scheduled Castes, Government of India(NCSC).                          
Ex Member of Parliament Mishrikh U.P.",True,2016-08-27T11:27:04+00:00,12161,436,7024,11588,,bjp,LCK
3087,NehaSingh_BJYM,708901312415465472,Thakur Neha Singh(ठाकुर नेहा सिंह),प्रदेश कार्यसमिति सदस्य भाजयुमो उत्तर प्रदेश,False,2016-03-13T06:23:38+00:00,12131,284,11664,58377,,bjp,LCK
3089,SPSantoshSahu,792347613827915776,santosh sahu bundelkhandi,जिलाध्यक्ष समाजवादी व्यापार सभा जनपद महोबा उत्तर प्रदेश,False,2016-10-29T12:49:27+00:00,1369,2964,3021,5821,,sp,MAH
3090,RishiYa28418879,892661879952351232,Rishi Yadav,समाजवादी पार्टी,False,2017-08-02T08:22:31+00:00,99,240,1244,3979,,sp,ETW
3091,MijjanKhan3,1045677585856966656,Mijjan Khan,नगर अध्यक्ष पयागपुर समाजवादी पार्टी,False,2018-09-28T14:12:18+00:00,65,296,603,484,,sp,BAH
3093,sangeetayadavup,3997591514,Sangeeta Yadav,"राष्ट्रीय मंत्री- महिला मोर्चा, भाजपा
                                 




विधायक - चौरी-चौरा (326), उत्तर प्रदेश

en.wikipedia.org/wiki/Sangeeta_…",True,2015-10-24T02:28:20+00:00,4317,166,9984,29462,,bjp,GOR
3100,RahulDevYaduva4,1073085795928395776,Rahul Deo Yaduvanshi,बेरोजगारी आंदोलन(सामाजिक कार्यकर्ता)(प्रदेश कार्यकारी अध्यक्ष युवा राष्ट्रीय पिछड़ावर्ग संघ),False,2018-12-13T05:22:45+00:00,711,366,27812,68574,,sp,KAN
3102,AkashyadavSani2,800049182908289024,Akash yadav Sani,प्रदेश सचिव छात्र सभा समाजवादी पार्टी,False,2016-11-19T18:52:44+00:00,1853,1630,3837,4302,,sp,ALH
3105,ManojPr63748921,872781038841409536,Manoj Prajapati,vice President of BJP Lucknow,False,2017-06-08T11:43:09+00:00,644,923,1953,30518,,bjp,LCK
3109,Navneet78282289,1412362335851737089,Navneet Kumar Gola,"जिला उपाध्यक्ष समाजवादी पार्टी अमरोहा,  🚲🚲              

  प्रदेश महासचिव राष्ट्रीय प्रजापति महासंघ उत्तर प्रदेश",False,2021-07-06T10:47:21+00:00,602,1538,628,7033,,sp,AMR
3114,Ribhula,1626833377,Ribhu Lavania,Have independent views on issues of national importance. Not attached to any party but hate Congress & AAP.,False,2013-07-28T02:19:29+00:00,2517,1085,56454,47945,,inc,DEO
3116,AdvoSin,759039096987774976,Advo Ajeet S.yadav,(Layer at Tax Adviser and social worker Samajwadi party),False,2016-07-29T14:53:17+00:00,1405,683,529,537,,sp,LCK
3117,omtripathividit,530971886,ओम नारायण त्रिपाठी(विदित),state secretary of Samajwadi chatrasabha at Samajwadi party,False,2012-03-20T06:30:39+00:00,441,55,1454,2573,,sp,BAN
3118,Rajeshyaduvnsi,900880917924896770,RajeshYadavSP,सेवा ही धर्म है। समर्थक समाजवादी पार्टी 🚲🚲🚲🚲🚲🚲🚲,False,2017-08-25T00:42:03+00:00,502,416,5378,5711,,sp,DEO
3119,PremsagarMLA,1866173670,Prem Sagar Patel,MLA Siswa Uttar Pradesh,True,2013-09-15T04:44:08+00:00,1050,512,2444,3408,,bjp,MRG
3120,BJP4Kaushambi,883606468611768321,BJP Kaushambi,Official twitter handle of BJP Kaushambi.,False,2017-07-08T08:39:33+00:00,4444,72,14183,17745,,bjp,KAU
3121,anjuydv,854599029770027008,༒अंजू यदुवंशी༒ ࿇Anju࿇ انجو 👑,Writer•||•Social Activist•||•AY's Warrior.||•Political Observer•||•Rt's & Tweets are Personal•||•Tweets in likes•||• samajwadiparty.in,False,2017-04-19T07:34:21+00:00,55328,615,47229,36899,,sp,FTH
3124,Jitendraksahu7,1214064719612366848,Jitendra K Sahu,जिलासंयोजक सोशल मीडिया भाजपा कौशाम्बी,False,2020-01-06T06:02:54+00:00,259,291,2687,4369,,bjp,SHJ
3125,BhadohiYouth,1096369840946704385,Bhadohi Youth Congress,bhadohi youth congress,False,2019-02-15T11:25:14+00:00,125,628,933,898,,inc,BDH
3127,baisla_lalit,770264505490243584,Lalit Baisla bjp ghaziabad,"जिला मंत्री ग़ाज़ियाबाद भाजपा एवं निकाय प्रकोष्ठ सहसंयोजक ग़ाज़ियाबाद
पूर्व मंडल उपाध्यक्ष भाजपा
  पूर्व प्रत्याशी वार्ड 27 भाजपा  लोनी ग़ाज़ियाबाद 
भारत माता की जय",False,2016-08-29T14:19:03+00:00,637,2014,10995,110515,,bjp,GZB
3129,dr_ashishINC,823792787225198592,Dr. Ashish Dixit,"प्रवक्ता,उत्तर प्रदेश कांग्रेस कमेटी                                         
Whatsapp - 9335208050
Tweets & RT are strictly personal",False,2017-01-24T07:21:20+00:00,588,390,915,1483,,inc,LCK
3130,pushkar_ambrish,1076368579023511552,Mla Ambrish singh pushkar,"Worker of samajwadiparty.in || MLA from 176 Mohanlalganj Constituency, Lucknow U.P ||  🚴‍♀️🚴‍♀️/
Socialist Leader of Samajwadi Party UP India. 
🚴‍♀️🚴",False,2018-12-22T06:47:22+00:00,1343,353,3788,2354,,sp,LCK
3131,ManojYa14179207,1292030693422198784,Manoj Yadav,कट्टर समाजवादी समर्थक,False,2020-08-08T09:31:52+00:00,510,294,244,215,,sp,HAM
3133,Shalabhoffice,940250760595439618,Shalabh Mani Tripathi (Office),"Media Advisor to Hon CM @myogiadityanath, Member UP BJP State Working Committee, Independent Journalist.",False,2017-12-11T16:03:45+00:00,10244,1,4578,2907,,bjp,DEO
3134,prabhatsinghbjp,711195633470742529,Prabhat Kumar Singh,"जिला उपाध्यक्ष , भारतीय जनता पार्टी वाराणसी. #indiafightscorna. #boycottchina",False,2016-03-19T14:20:27+00:00,1278,390,701,1167,,bjp,VAR
3135,RahulAbvp24,2920301810,🚩Rahul Shukla🚩,"पूर्व प्रान्त एग्रीविजन सह प्रमुख अवध प्रांत ABVP
पूर्व महानगर एग्रीविजन प्रमुख लखनऊ,
पूर्व इकाई अध्यक्ष इंटीग्रल विश्वविद्यालय
 ⚖विधि छात्र लखनऊ विश्वविद्यालय",False,2014-12-06T06:30:42+00:00,664,828,4717,4278,,bjp,LCK
